MEL_A1_1	MEL.A1
RBG2_187	RBG-2
RBG2_188	RBG-2
RBG2_189	RBG-2
RBG2_190	RBG-2
RBG2_191	RBG-2
RBG2_192	RBG-2
RBG2_193	RBG-2
RBG2_194	RBG-2
RBG2_195	RBG-2
RBG2_196	RBG-2
RBG2_197	RBG-2
RBG2_198	RBG-2
RBG2_199	RBG-2
RBG2_200	RBG-2
RBG2_201	RBG-2
RBG2_202	RBG-2
RBG2_203	RBG-2
RBG2_204	RBG-2
RBG2_205	RBG-2
RBG2_206	RBG-2
RBG2_207	RBG-2
RBG2_208	RBG-2
RBG2_209	RBG-2
RBG2_210	RBG-2
RBG2_211	RBG-2
RBG2_212	RBG-2
RBG2_213	RBG-2
RBG2_214	RBG-2
RBG2_215	RBG-2
RBG2_216	RBG-2
RBG2_217	RBG-2
RBG2_218	RBG-2
RBG2_219	RBG-2
RBG2_220	RBG-2
RBG2_221	RBG-2
RBG2_222	RBG-2
RBG2_223	RBG-2
RBG2_224	RBG-2
RBG2_226	RBG-2
RBG2_227	RBG-2
RBG2_228	RBG-2
RBG2_229	RBG-2
RBG2_230	RBG-2
RBG2_231	RBG-2
RBG2_232	RBG-2
RBG2_233	RBG-2
RBG2_234	RBG-2
RBG2_235	RBG-2
RBG2_236	RBG-2
RBG2_237	RBG-2
RBG2_238	RBG-2
RBG2_239	RBG-2
RBG2_240	RBG-2
RBG2_241	RBG-2
RBG2_242	RBG-2
RBG2_243	RBG-2
RBG2_244	RBG-2
RBG2_245	RBG-2
RBG2_246	RBG-2
RBG2_247	RBG-2
RBG2_248	RBG-2
RBG2_249	RBG-2
RBG2_250	RBG-2
RBG2_251	RBG-2
RBG2_252	RBG-2
RBG2_253	RBG-2
RBG2_254	RBG-2
RBG2_255	RBG-2
RBG2_256	RBG-2
RBG2_257	RBG-2
RBG2_258	RBG-2
RBG2_259	RBG-2
RBG2_260	RBG-2
RBG2_261	RBG-2
RBG2_262	RBG-2
RBG2_263	RBG-2
RBG2_264	RBG-2
RBG2_265	RBG-2
RBG2_266	RBG-2
RBG2_267	RBG-2
RBG2_268	RBG-2
RBG2_269	RBG-2
RBG2_270	RBG-2
RBG2_271	RBG-2
RBG2_272	RBG-2
RBG2_273	RBG-2
RBG2_274	RBG-2
RBG2_275	RBG-2
RBG2_276	RBG-2
RBG2_277	RBG-2
RBG2_278	RBG-2
RBG2_279	RBG-2
RBG2_280	RBG-2
RBG2_281	RBG-2
RBG2_282	RBG-2
RBG2_283	RBG-2
RBG2_284	RBG-2
RBG2_285	RBG-2
RBG2_286	RBG-2
RBG2_287	RBG-2
RBG2_288	RBG-2
RBG2_289	RBG-2
RBG2_290	RBG-2
RBG2_291	RBG-2
RBG2_292	RBG-2
RBG2_293	RBG-2
RBG2_294	RBG-2
RBG2_295	RBG-2
RBG2_296	RBG-2
RBG2_297	RBG-2
RBG2_298	RBG-2
RBG2_299	RBG-2
RBG2_300	RBG-2
RBG2_301	RBG-2
RBG2_302	RBG-2
RBG2_303	RBG-2
RBG2_304	RBG-2
RBG2_305	RBG-2
RBG2_306	RBG-2
RBG2_307	RBG-2
RBG2_308	RBG-2
RBG2_309	RBG-2
RBG2_310	RBG-2
RBG2_311	RBG-2
RBG2_312	RBG-2
RBG2_313	RBG-2
RBG2_314	RBG-2
RBG2_315	RBG-2
RBG2_317	RBG-2
RBG2_318	RBG-2
RBG2_319	RBG-2
RBG2_320	RBG-2
RBG2_321	RBG-2
RBG2_322	RBG-2
RBG2_323	RBG-2
RBG2_324	RBG-2
RBG2_325	RBG-2
RBG2_326	RBG-2
RBG2_327	RBG-2
RBG2_328	RBG-2
RBG2_329	RBG-2
RBG2_330	RBG-2
RBG2_331	RBG-2
RBG2_332	RBG-2
RBG2_333	RBG-2
RBG2_334	RBG-2
RBG2_335	RBG-2
RBG2_336	RBG-2
RBG2_337	RBG-2
RBG2_338	RBG-2
RBG2_339	RBG-2
RBG2_340	RBG-2
RBG2_341	RBG-2
RBG2_342	RBG-2
RBG2_343	RBG-2
RBG2_344	RBG-2
RBG2_345	RBG-2
RBG2_346	RBG-2
RBG2_347	RBG-2
RBG2_348	RBG-2
RBG2_349	RBG-2
RBG2_350	RBG-2
CARPEP_1	Peptoniphilus_carrol
CARPEP_2	Peptoniphilus_carrol
CARPEP_3	Peptoniphilus_carrol
CARPEP_4	Peptoniphilus_carrol
CARPEP_5	Peptoniphilus_carrol
CARPEP_6	Peptoniphilus_carrol
CARPEP_7	Peptoniphilus_carrol
CARPEP_8	Peptoniphilus_carrol
CARPEP_9	Peptoniphilus_carrol
CARPEP_10	Peptoniphilus_carrol
CARPEP_11	Peptoniphilus_carrol
CARPEP_12	Peptoniphilus_carrol
CARPEP_13	Peptoniphilus_carrol
CARPEP_14	Peptoniphilus_carrol
CARPRO_1	Proprionibacterium_carrol
CARPRO_2	Proprionibacterium_carrol
CARPRO_3	Proprionibacterium_carrol
CARPRO_4	Proprionibacterium_carrol
CARPRO_5	Proprionibacterium_carrol
CARPRO_6	Proprionibacterium_carrol
CARPRO_7	Proprionibacterium_carrol
CARPRO_8	Proprionibacterium_carrol
CARPRO_9	Proprionibacterium_carrol
CARPRO_10	Proprionibacterium_carrol
CARPRO_11	Proprionibacterium_carrol
CARPRO_12	Proprionibacterium_carrol
CARPRO_13	Proprionibacterium_carrol
CARPRO_14	Proprionibacterium_carrol
CARPRO_15	Proprionibacterium_carrol
CARPRO_16	Proprionibacterium_carrol
CARPRO_17	Proprionibacterium_carrol
CARPRO_18	Proprionibacterium_carrol
CARPRO_19	Proprionibacterium_carrol
CARPRO_20	Proprionibacterium_carrol
CARPRO_21	Proprionibacterium_carrol
CARPRO_22	Proprionibacterium_carrol
CARPRO_23	Proprionibacterium_carrol
CARSAU_1	Staphylococcus_aureus_carrol
CARSAU_2	Staphylococcus_aureus_carrol
CARSAU_3	Staphylococcus_aureus_carrol
CARSAU_4	Staphylococcus_aureus_carrol
CARSAU_5	Staphylococcus_aureus_carrol
CARSAU_6	Staphylococcus_aureus_carrol
CARSAU_7	Staphylococcus_aureus_carrol
CARSAU_8	Staphylococcus_aureus_carrol
CARSAU_9	Staphylococcus_aureus_carrol
CARSAU_10	Staphylococcus_aureus_carrol
CARSAU_11	Staphylococcus_aureus_carrol
CARSAU_12	Staphylococcus_aureus_carrol
CARSAU_13	Staphylococcus_aureus_carrol
CARSAU_14	Staphylococcus_aureus_carrol
CARSAU_15	Staphylococcus_aureus_carrol
CARSAU_16	Staphylococcus_aureus_carrol
CARSAU_17	Staphylococcus_aureus_carrol
CARSAU_18	Staphylococcus_aureus_carrol
CARSAU_19	Staphylococcus_aureus_carrol
CARSAU_20	Staphylococcus_aureus_carrol
CARSAU_21	Staphylococcus_aureus_carrol
CARSAU_22	Staphylococcus_aureus_carrol
CARSAU_23	Staphylococcus_aureus_carrol
CARSAU_24	Staphylococcus_aureus_carrol
CARSAU_25	Staphylococcus_aureus_carrol
CARSAU_26	Staphylococcus_aureus_carrol
CARSAU_27	Staphylococcus_aureus_carrol
CARSEV13_1	Staphylococcus_epidermidis_phage_013
CARSEP_1	Staphylococcus_epidermidis_carrol_st._1
CARSEP_2	Staphylococcus_epidermidis_carrol_st._1
CARSEP_3	Staphylococcus_epidermidis_carrol_st._1
CARSEP_4	Staphylococcus_epidermidis_carrol_st._1
CARSEP_5	Staphylococcus_epidermidis_carrol_st._1
CARSEP_6	Staphylococcus_epidermidis_carrol_st._1
CARSEP_7	Staphylococcus_epidermidis_carrol_st._1
CARSEP_8	Staphylococcus_epidermidis_carrol_st._1
CARSEP_9	Staphylococcus_epidermidis_carrol_st._1
CARSEP_10	Staphylococcus_epidermidis_carrol_st._1
CARSEP_11	Staphylococcus_epidermidis_carrol_st._1
CARSEP_12	Staphylococcus_epidermidis_carrol_st._1
CARSEP_13	Staphylococcus_epidermidis_carrol_st._1
CARSEP_14	Staphylococcus_epidermidis_carrol_st._1
CARSEP_15	Staphylococcus_epidermidis_carrol_st._1
CARSEP_16	Staphylococcus_epidermidis_carrol_st._1
CARSEP_17	Staphylococcus_epidermidis_carrol_st._1
CARSEP_18	Staphylococcus_epidermidis_carrol_st._1
CARSEP_19	Staphylococcus_epidermidis_carrol_st._1
CARSEP_20	Staphylococcus_epidermidis_carrol_st._1
CARSEP_21	Staphylococcus_epidermidis_carrol_st._1
CARSEP_22	Staphylococcus_epidermidis_carrol_st._1
CARSEP_24	Staphylococcus_epidermidis_carrol_st._1
CARSEP_25	Staphylococcus_epidermidis_carrol_st._1
